时间,季度,市公司,销量（箱）,销额（元）
2012,二季度,安顺市,24260.0938,511003619.3
2012,二季度,毕节市,42469.6961,874089778.5
2012,二季度,贵阳市,53329.8102,1481922772
2012,二季度,遵义市,49072.2688,1170910035
2012,二季度,铜仁市,22683.5138,532716771
2012,二季度,黔东南州,28118.3312,570795993.5
2012,二季度,黔南州,31435.9666,571841526
2012,二季度,黔西南州,19235.0674,412453106
2012,四季度,六盘水市,19188.7382,479117638
2012,四季度,安顺市,14916.2618,373969756.8
2012,四季度,毕节市,38969.5157,827537999.1
2012,四季度,贵阳市,47574.43994,1321180311
2012,四季度,遵义市,43874.114,971185933.5
2012,四季度,铜仁市,19365.071,445786781.3
2012,四季度,黔东南州,20953.3504,418547280
2012,四季度,黔南州,22733.7721,503694709.5
2012,四季度,黔西南州,20264.8343,415016294.2
2013,一季度,六盘水市,38836.1503,1012220154
2013,一季度,安顺市,38333.3688,894582064
2013,一季度,毕节市,86885.5718,1745965973
2013,一季度,贵阳市,74523.26436,2253993543
2013,一季度,遵义市,84595.7584,2088279860
2013,一季度,铜仁市,46607.0768,1074063751
2013,一季度,黔东南州,48441.5514,1110627141
2013,一季度,黔南州,45712.5964,1012798005
2013,一季度,黔西南州,34346.3892,730447022
2013,三季度,六盘水市,26984.2777,778832783.5
2013,三季度,安顺市,25256.0678,680745925
2013,三季度,毕节市,50042.44574,1259122368
2013,三季度,贵阳市,64403.1152,2037699468
2013,三季度,遵义市,60862.5061,1560112067
2013,三季度,铜仁市,26308.105,715866789.5
2013,三季度,黔东南州,31848.9919,755253671
2013,三季度,黔南州,31847.5684,790831627.7
2013,三季度,黔西南州,25793.7753,595379282.5
2013,二季度,六盘水市,27194.0748,722732987.5
2013,二季度,安顺市,25577.975,641560763.5
2013,二季度,毕节市,42941.3932,1055857995
2013,二季度,贵阳市,57819.44022,1722595199
2013,二季度,遵义市,53454.5904,1298287986
2013,二季度,铜仁市,23785.3442,612028345.3
2013,二季度,黔东南州,27305.596,621562986
2013,二季度,黔南州,29455.8998,678220811
2013,二季度,黔西南州,26149.2562,505861892.8
2013,四季度,六盘水市,18411.2428,499385130.8
2013,四季度,安顺市,16657.1971,431392857
2013,四季度,毕节市,38234.66072,958843338.6
2013,四季度,贵阳市,43051.2364,1322202526
2013,四季度,遵义市,44147.8675,1114925681
2013,四季度,铜仁市,19546.7952,493719535.7
2013,四季度,黔东南州,20626.1986,472280392
2013,四季度,黔南州,21675.1054,510705357
2013,四季度,黔西南州,19141.2082,438598865
2014,一季度,六盘水市,41169.2648,1193127318
2014,一季度,安顺市,42182.9313,1123359750
2014,一季度,毕节市,90578.2437,2159066586
2014,一季度,贵阳市,82675.62942,2837246558
2014,一季度,遵义市,87838.49526,2528420984
2014,一季度,铜仁市,47579.3622,1311946529
2014,一季度,黔东南州,51763.6109,1348338004
2014,一季度,黔南州,50949.5637,1382368230
2014,一季度,黔西南州,41688.0944,946059789.5
2014,三季度,六盘水市,27391.80316,812371641.9
2014,三季度,安顺市,23917.3542,661401452.6
2014,三季度,毕节市,51907.6826,1437001488
2014,三季度,贵阳市,66172.14096,2213905530
2014,三季度,遵义市,60662.98858,1715259463
2014,三季度,铜仁市,27294.0156,755360775.9
2014,三季度,黔东南州,32599.3795,832220359
2014,三季度,黔南州,31393.3937,800562929.1
2014,三季度,黔西南州,24185.9859,600948036.9
2014,二季度,六盘水市,27608.09046,795585777.7
2014,二季度,安顺市,22655.3828,646648555.3
2014,二季度,毕节市,45578.77624,1247590276
2014,二季度,贵阳市,59881.63524,1926808128
2014,二季度,遵义市,53556.71078,1528768130
2014,二季度,铜仁市,23102.2933,657229610.5
2014,二季度,黔东南州,25818.4656,662405182
2014,二季度,黔南州,27946.0575,696607234
2014,二季度,黔西南州,22818.2158,566653005
2014,四季度,六盘水市,19358.58178,556794874.4
2014,四季度,安顺市,21037.4674,530083457.3
2014,四季度,毕节市,38627.49082,1045670106
2014,四季度,贵阳市,46304.71658,1540816098
2014,四季度,遵义市,47656.39222,1313779612
2014,四季度,铜仁市,22612.1931,609172594.3
2014,四季度,黔东南州,22373.1429,521174904.5
2014,四季度,黔南州,23122.6465,608899218.8
2014,四季度,黔西南州,18965.0454,481090392
2015,一季度,六盘水市,43013.41538,1203827186
2015,一季度,安顺市,45745.9187,1255226525
2015,一季度,毕节市,95102.27704,2428924602
2015,一季度,贵阳市,85066.56392,2928297043
2015,一季度,遵义市,92302.76448,2730184591
2015,一季度,铜仁市,51758.4912,1522035371
2015,一季度,黔东南州,54243.1538,1494073995
2015,一季度,黔南州,53478.36,1538857434
2015,一季度,黔西南州,44714.386,1118924964
2015,三季度,六盘水市,25449.45286,816836398.2
2015,三季度,安顺市,24917.2498,775548177.5
2015,三季度,毕节市,51803.97942,1520618320
2015,三季度,贵阳市,64568.95794,2294384160
2015,三季度,遵义市,61509.56736,1970118567
2015,三季度,铜仁市,26582.4971,824877893.4
2015,三季度,黔东南州,32239.7602,869652666.4
2015,三季度,黔南州,31040.5515,906212947.7
2015,三季度,黔西南州,24066.0933,702889487.3
2015,二季度,六盘水市,25804.27952,781205334.6
2015,二季度,安顺市,22061.6495,678923027.8
2015,二季度,毕节市,45217.00778,1352650587
2015,二季度,贵阳市,62574.66726,2190841107
2015,二季度,遵义市,53457.76234,1713606822
2015,二季度,铜仁市,21936.0635,680644969.9
2015,二季度,黔东南州,25780.3018,713000372.5
2015,二季度,黔南州,27287.2783,798068839.1
2015,二季度,黔西南州,21680.9305,591321651.3
2015,四季度,六盘水市,28493.24034,889656964
2015,四季度,安顺市,26417.5704,818529907.1
2015,四季度,毕节市,53693.29602,1596232597
2015,四季度,贵阳市,70797.69092,2407453415
2015,四季度,遵义市,68614.81158,2143668917
2015,四季度,铜仁市,32680.7084,1000439250
2015,四季度,黔东南州,28763.3786,817994690.9
2015,四季度,黔南州,34204.9084,977566408.2
2015,四季度,黔西南州,26862.1319,753894661
